id,name,artist,key,mode,tempo,time_signature,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,analysis_url,preview_url
7JIZlB5oRPiesFJpB0GIUZ,Tales From The Trash Stratum,Oneohtrix Point Never,0,1,66.581,4,208547,0.365,0.505,-10.179,0.168,0.725,0.199,0.933,0.609,https://api.spotify.com/v1/audio-analysis/7JIZlB5oRPiesFJpB0GIUZ,
0JlwmGK34Lbe62xPbpsmSb,No Nightmares,Oneohtrix Point Never,0,1,149.955,4,246371,0.418,0.469,-9.796,0.0336,0.16,0.273,0.26,0.0981,https://api.spotify.com/v1/audio-analysis/0JlwmGK34Lbe62xPbpsmSb,
101MvglRVJwUYCeWaQjyIw,The Whether Channel,Oneohtrix Point Never,7,1,149.759,3,368117,0.364,0.445,-10.417,0.046,0.75,0.0307,0.112,0.171,https://api.spotify.com/v1/audio-analysis/101MvglRVJwUYCeWaQjyIw,
75VpgUrHzAnIGjTGumAYWn,Bow Ecco,Oneohtrix Point Never,6,1,88.15,3,131209,0.272,0.667,-7.523,0.0429,0.882,0.412,0.293,0.135,https://api.spotify.com/v1/audio-analysis/75VpgUrHzAnIGjTGumAYWn,
4oCeMWwBmMmfAjGwSvrTa4,Die Anywhere Else,Alec Holowka,3,1,164.95,4,144747,0.361,0.837,-8.367,0.0333,0.183,0.746,0.127,0.685,https://api.spotify.com/v1/audio-analysis/4oCeMWwBmMmfAjGwSvrTa4,https://p.scdn.co/mp3-preview/63cbbbad15d94c446319502addd849db368830c0?cid=d15799fa66d145678638eaacc0278873
4onzxTzKgnSrKUmA2YydJB,Teenage Birdsong,Four Tet,7,1,195.986,4,205421,0.633,0.866,-7.166,0.0558,0.475,0.723,0.0955,0.0625,https://api.spotify.com/v1/audio-analysis/4onzxTzKgnSrKUmA2YydJB,https://p.scdn.co/mp3-preview/8ac90c346b7601093af8252c5c2857dfc943148b?cid=d15799fa66d145678638eaacc0278873
77nGkjmKU27LjPEF0eLUdT,Daymarks,Catching Flies,8,0,96.978,4,225187,0.579,0.682,-9.897,0.0527,0.266,0.734,0.111,0.137,https://api.spotify.com/v1/audio-analysis/77nGkjmKU27LjPEF0eLUdT,https://p.scdn.co/mp3-preview/3ffb72c44883ad711546967e615f49657066b26e?cid=d15799fa66d145678638eaacc0278873
6lURqRzgfuHN5Czub5w9Px,Perpetual Motion,Max Cooper,11,1,118.977,4,298987,0.717,0.621,-11.855,0.0536,0.675,0.926,0.111,0.224,https://api.spotify.com/v1/audio-analysis/6lURqRzgfuHN5Czub5w9Px,https://p.scdn.co/mp3-preview/ebf940c9b3763564e56fc3eef54b730b69eeeb35?cid=d15799fa66d145678638eaacc0278873
73EGuFenOTK9SZWIJ1qNNu,Boing Boom Tschak,Kraftwerk,10,0,113.046,4,155380,0.805,0.754,-8.564,0.0483,0.00298,0.848,0.0672,0.494,https://api.spotify.com/v1/audio-analysis/73EGuFenOTK9SZWIJ1qNNu,https://p.scdn.co/mp3-preview/35c250d0152b68f662e8e705e4d358017937167f?cid=d15799fa66d145678638eaacc0278873
5TFHM6fKlbTYm0r0SnHzJZ,It's More Fun to Compute / Home Computer,Kraftwerk,10,0,122.018,4,371922,0.795,0.665,-10.952,0.0552,0.0857,0.748,0.0766,0.555,https://api.spotify.com/v1/audio-analysis/5TFHM6fKlbTYm0r0SnHzJZ,https://p.scdn.co/mp3-preview/6d18211b864bc7dec0388deb346b65b9a40b0a85?cid=d15799fa66d145678638eaacc0278873
5vku3twiELeCswJtbbeueO,Numbers / Computer World,Kraftwerk,10,0,129.041,4,380593,0.773,0.619,-12.915,0.0608,0.118,0.156,0.307,0.632,https://api.spotify.com/v1/audio-analysis/5vku3twiELeCswJtbbeueO,https://p.scdn.co/mp3-preview/506ca2d67ce4e26727e91308a990b06edf8386b0?cid=d15799fa66d145678638eaacc0278873
6PqsjoVet1G40qOL75unju,Radio Stars / Uranium / Transistor / Ohm Sweet Ohm,Kraftwerk,8,1,111.643,4,477592,0.25,0.366,-17.474,0.0447,0.888,0.003,0.344,0.0391,https://api.spotify.com/v1/audio-analysis/6PqsjoVet1G40qOL75unju,https://p.scdn.co/mp3-preview/2e89b95a84301bf7bc9af1b05d6dbb13280deaa4?cid=d15799fa66d145678638eaacc0278873
3AOEJQ7B9NtTjgIHkhBRnU,Intermission / News / The Voice of Energy,Kraftwerk,10,0,110.143,3,153866,0.427,0.348,-17.315,0.137,0.615,0.0866,0.129,0.314,https://api.spotify.com/v1/audio-analysis/3AOEJQ7B9NtTjgIHkhBRnU,https://p.scdn.co/mp3-preview/66c40c83064bb7c2928adf041de22d03b52af5df?cid=d15799fa66d145678638eaacc0278873
667ypB5qNup4uhJu0CRqWx,Radioland,Kraftwerk,11,1,78.281,4,355390,0.454,0.463,-14.64,0.0546,0.0401,0.0453,0.672,0.182,https://api.spotify.com/v1/audio-analysis/667ypB5qNup4uhJu0CRqWx,https://p.scdn.co/mp3-preview/f65e1d40359e6c069b6abdcb2f8acc0ee617b528?cid=d15799fa66d145678638eaacc0278873
1weOZ1gOj4KSLRsbFYEQTt,Kissin' Antonio,Tom Tom Club,9,0,131.004,4,222867,0.733,0.698,-7.799,0.0283,0.0743,0.0494,0.0946,0.965,https://api.spotify.com/v1/audio-analysis/1weOZ1gOj4KSLRsbFYEQTt,https://p.scdn.co/mp3-preview/a6f19517b8e5f7c0c3d64ce82eb8236fb231427b?cid=d15799fa66d145678638eaacc0278873
